-------------------------------
identifier 	 task 	 time
         T 	 search	 0.000003 s
     undef 	 search	 0.000003 s
     WCHAR 	 search	 0.000003 s
         T 	 search	 0.000003 s
     undef 	 search	 0.000002 s
       BSD 	 search	 0.000002 s
     WCHAR 	 search	 0.000002 s
         T 	 search	 0.000002 s
     endif 	 search	 0.000002 s
     endif 	 search	 0.000002 s
     endif 	 search	 0.000003 s
   defined 	 search	 0.000003 s
    STDDEF 	 search	 0.000002 s
         H 	 search	 0.000002 s
   defined 	 search	 0.000003 s
      need 	 search	 0.000002 s
      NULL 	 search	 0.000002 s
     undef 	 search	 0.000003 s
      NULL 	 search	 0.000003 s
     ifdef 	 search	 0.000003 s
      GNUG 	 search	 0.000002 s
    define 	 search	 0.000003 s
      NULL 	 search	 0.000003 s
      null 	 insert	 0.000003 s
    ifndef 	 search	 0.000003 s
 cplusplus 	 search	 0.000003 s
    define 	 search	 0.000003 s
      NULL 	 search	 0.000003 s
      void 	 insert	 0.000002 s
    define 	 search	 0.000002 s
      NULL 	 search	 0.000002 s
     endif 	 search	 0.000003 s
     endif 	 search	 0.000002 s
     endif 	 search	 0.000002 s
     undef 	 search	 0.000003 s
      need 	 search	 0.000002 s
      NULL 	 search	 0.000002 s
     ifdef 	 search	 0.000002 s
    STDDEF 	 search	 0.000002 s
         H 	 search	 0.000002 s
    define 	 search	 0.000003 s
  offsetof 	 insert	 0.000003 s
      TYPE 	 search	 0.000002 s
    MEMBER 	 insert	 0.000003 s
   builtin 	 insert	 0.000003 s
  offsetof 	 search	 0.000003 s
      TYPE 	 search	 0.000003 s
    MEMBER 	 search	 0.000002 s
   defined 	 search	 0.000002 s
      STDC 	 insert	 0.000003 s
   VERSION 	 insert	 0.000003 s
      STDC 	 search	 0.000003 s
   VERSION 	 search	 0.000002 s
         L 	 insert	 0.000003 s
   defined 	 search	 0.000003 s
 cplusplus 	 search	 0.000003 s
 cplusplus 	 search	 0.000002 s
         L 	 search	 0.000002 s
    ifndef 	 search	 0.000003 s
       GCC 	 search	 0.000002 s
       MAX 	 insert	 0.000004 s
     ALIGN 	 insert	 0.000003 s
         T 	 search	 0.000002 s
    define 	 search	 0.000003 s
       GCC 	 search	 0.000002 s
       MAX 	 search	 0.000002 s
     ALIGN 	 search	 0.000002 s
         T 	 search	 0.000002 s
    struct 	 insert	 0.000003 s
       max 	 insert	 0.000004 s
     align 	 insert	 0.000004 s
        ll 	 insert	 0.000004 s
 attribute 	 insert	 0.000003 s
   aligned 	 insert	 0.000004 s
   alignof 	 insert	 0.000003 s
       max 	 search	 0.000003 s
     align 	 search	 0.000003 s
        ld 	 insert	 0.000003 s
 attribute 	 search	 0.000003 s
   aligned 	 search	 0.000003 s
   alignof 	 search	 0.000002 s
     ifdef 	 search	 0.000009 s
      i386 	 insert	 0.000004 s
  float128 	 insert	 0.000004 s
       max 	 search	 0.000004 s
     align 	 search	 0.000003 s
      f128 	 insert	 0.000003 s
 attribute 	 search	 0.000003 s
   aligned 	 search	 0.000004 s
   alignof 	 search	 0.000003 s
  float128 	 search	 0.000005 s
     endif 	 search	 0.000004 s
       max 	 search	 0.000003 s
     align 	 search	 0.000003 s
         t 	 search	 0.000003 s
     endif 	 search	 0.000003 s
     endif 	 search	 0.000003 s
   defined 	 search	 0.000003 s
 cplusplus 	 search	 0.000004 s
 cplusplus 	 search	 0.000004 s
         L 	 search	 0.000004 s
    ifndef 	 search	 0.000003 s
       GXX 	 insert	 0.000004 s
   NULLPTR 	 insert	 0.000004 s
         T 	 search	 0.000004 s
    define 	 search	 0.000004 s
       GXX 	 search	 0.000003 s
   NULLPTR 	 search	 0.000003 s
         T 	 search	 0.000002 s
  decltype 	 insert	 0.000004 s
   nullptr 	 insert	 0.000003 s
   nullptr 	 search	 0.000003 s
         t 	 search	 0.000004 s
     endif 	 search	 0.000003 s
     endif 	 search	 0.000004 s
     endif 	 search	 0.000004 s
     endif 	 search	 0.000004 s
